Deporte,Fecha,Tiempo,Distancia,Frecuencia Media,Calorias,Tiempo Zona 1,Tiempo Zona 2,Tiempo Zona 3,Tiempo Zona 4,Tiempo Zona 5,Tipo,Tenis,Terreno
Correr,"Lunes, Ene 11, 2021 08:56 AM",01:21:56,14.06,156,955,00:00:53,00:06:43,00:28:20,00:45:58,00:00:00,Long Run,Pegasus 37,
Ciclismo,"Martes, Ene 12, 2021 09:05 AM",00:37:21,10,150,394,00:06:58,00:09:06,00:02:21,00:12:17,00:06:31,Speed Bike,,Circuito
Caminata,"Martes, Ene 12, 2021 09:49 AM",01:00:01,6.02,122,499,00:11:05,00:46:10,00:01:28,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Miércoles, Ene 13, 2021 09:01 AM",00:20:32,2,116,159,00:11:23,00:07:54,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Miércoles, Ene 13, 2021 09:25 AM",00:23:45,4.42,158,289,00:00:27,00:00:30,00:07:21,00:14:46,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Ene 14, 2021 09:02 AM",00:59:09,8.8,144,622,00:06:16,00:20:49,00:10:25,00:19:49,00:01:29,Tempo Run,Pegasus 37,
Caminata,"Viernes, Ene 15, 2021 09:02 AM",00:21:54,2.07,116,167,00:16:25,00:04:24,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Viernes, Ene 15, 2021 09:28 AM",00:23:14,4.53,155,264,00:00:27,00:04:01,00:03:54,00:14:30,00:00:12,Velocity,Pegasus 36,
Correr,"Lunes, Ene 18, 2021 09:03 AM",01:57:26,20.06,162,1438,00:00:26,00:10:37,00:10:40,01:34:26,00:01:09,Long Run,Pegasus 37,
Ciclismo,"Martes, Ene 19, 2021 09:08 AM",00:42:10,11,155,458,00:02:10,00:02:10,00:11:51,00:24:09,00:00:00,Speed Bike,,Circuito
Caminata,"Martes, Ene 19, 2021 09:58 AM",01:02:08,5.86,123,509,00:22:53,00:38:16,00:00:34,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Miércoles, Ene 20, 2021 09:06 AM",00:21:45,2.04,107,138,00:20:44,00:00:06,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Miércoles, Ene 20, 2021 09:28 AM",00:18:13,3.68,158,218,00:00:26,00:00:22,00:03:12,00:13:14,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Ene 21, 2021 09:11 AM",00:59:34,10.08,155,686,00:01:01,00:12:52,00:08:43,00:36:57,00:00:00,Tempo Run,Pegasus 37,
Caminata,"Viernes, Ene 22, 2021 09:08 AM",00:30:48,2.98,111,212,00:23:38,00:06:10,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Viernes, Ene 22, 2021 09:44 AM",00:15:15,2.81,150,167,00:00:13,00:03:27,00:04:27,00:06:08,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Ene 25, 2021 09:03 AM",01:43:20,16.04,161,1254,00:00:25,00:06:58,00:23:08,01:12:08,00:00:00,Long Run,Pegasus 37,
Caminata,"Martes, Ene 26, 2021 09:16 AM",01:08:19,4.24,112,448,00:33:02,00:16:47,00:04:24,00:00:00,00:00:00,Power Walk,Asics,
Correr,"Miércoles, Ene 27, 2021 09:32 AM",00:29:23,5.51,159,354,00:00:19,00:04:02,00:02:17,00:21:37,00:00:17,Velocity,Pegasus 36,
Caminata,"Viernes, Ene 29, 2021 09:05 AM",00:31:35,4.28,129,278,00:14:07,00:06:05,00:00:51,00:08:44,00:00:00,Speed Bike,,
Correr,"Viernes, Ene 29, 2021 09:37 AM",00:19:03,3.15,147,203,00:00:46,00:07:18,00:01:41,00:08:33,00:00:00,Speed Bike,,
Caminata,"Martes, Feb 2, 2021 09:12 AM",01:04:30,6.02,112,461,01:03:43,00:00:09,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Lunes, Feb 8, 2021 09:10 AM",00:16:10,1.58,119,128,00:06:07,00:09:50,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
